Title,UID,Year,Series,Non-theatrical name (P53),aka,Type,sound/silent,BFI Identifier,BFI link,BFI synopsis,producer,Director,camera/photographer,editor,narrator,Consultant,story,music,gifford_desc,gifford_code,length,Comments,format,Related,From field: Related,Screenings,Sources,Images,Qcodes,BIF_catalogue_1926
Climbers,SOL_0049,1942,Secrets of Life,,,Film,sound,145148,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150130627,Studies of climbing plants,H. Bruce Woolfe,Mary Field,Jack Parker; Frank North,,Alan Howland,,,,,8037.3,868,"""Similar, but with different footage, to Climbing Plants""",,,,,,,Q726,
On The Heath,SOL_0050,1942,Secrets of Life,Heathlands,,Film,sound,61396,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150064448,"A survey of plant, bird, and insect life to be found on heathland. (NFA Catalogue)",H. Bruce Woolfe,Mary Field,Jack Parker; Frank North,,Alan Howland,,,,,8037.1,857,,,,,,,,Q727,
On The Moor,SOL_0051,1942,Secrets of Life,Moorlands,Dartmoor,Film,sound,,,,H. Bruce Woolfe,Mary Field,Jack Parker; Frank North,,Alan Howland,,,,,8037.2,823,,,,,,,,Q728,
Once We Were Four ,SOL_0052,1942,Secrets of Life,,,Film,sound,247748,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150239202,Nature study of four young rabbits. (Synopsis),H. Bruce Woolfe,Mary Field,Oliver G. Pike; Jack Parker,,Alan Howland,,,Jack Beaver,,8037.9,798,,,,,,,,Q729,
Over The Downs,SOL_0053,1942,Secrets of Life,Downlands,,Film,sound,,,,H. Bruce Woolfe,Mary Field,Jack Parker; Frank North,,Alan Howland,,,,,8037.4,877,,,,,,,,Q730,
Overlooked,SOL_0054,1942,Secrets of Life,,,Film,sound,17431,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150019516,"The camouflage techniques, armour and shelters built by animals, birds, sea-creatures and insects of the British Isles. (NFA Catalogue)",H. Bruce Woolfe,Mary Field,Oliver G. Pike; F. Percy Smith; Frank Goodliffe,,Alan Howland,,,,,8037.8,840,"""Camouflage tricks of animals""",,,,,,,Q731,
Singing While They Work ,SOL_0055,1942,Secrets of Life,,,Film,sound,14321,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150021950,A study of nightingales. Bird songs recorded by Ludwig Koch. (NFA Catalogue),H. Bruce Woolfe,Mary Field,"Jack Parker, Oliver Pike",Frank Goodliffe,Alan Howland,,,Ludwig Koch,,8037.6,870,,,,,,,,Q732,
There's Nothing New ,SOL_0056,1942,Secrets of Life,,,Film,sound,8043,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150010535,The parallels between modern inventions and the simple evolutions of nature. (NFA Catalogue),H. Bruce Woolfe,Mary Field,"Jack Parker, F. Percy Smith, Frank North",,Alan Howland,,,,,8037.5,870,,,,,,,,Q733,
Getting His Wings,SOL_0077,1942,Secrets of Life,,,Film,sound,182053,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150187204,Film showing the life cycle of a dragonfly. Looks at the feeding habits of various dragonfly nymphs and how the nymph climbs out of the pond and transforms itself into a dragonfly. (NFA Catalogue),,Mary Field,J. V. Durden,,,,,Jack Beaver,,,,,,,,,,,Q754,
Tree Triumphant,SOL_0057,1944,Secrets of Life,,The Apple Tree,Film,sound,304605,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150298551,Fight against pests in apple orchard. (Synopsis) THE ROLE OF BIRDS IN CONTROLLING INSECTS WHICH ATTACK APPLE TREES> (NFA Catalogue),,Mary Field,,,,,,,Birds control insects,8625,1459,,,,,,,,Q734,
